model,rae,spearman,kendall,r2,mae,te_std
nb168_multiseed_catboost,0.7560664246126149,0.6309297732028092,0.4465130741383318,0.2999889554084122,0.6038421611514085,0.6003580203890242
nb164_grand_v14,0.7573443524295521,0.6364866965616304,0.45028032217999675,0.28868921093261846,0.6048627946164777,0.5944493950143526
grover_lgbm,0.7574138190533889,0.6126498740326423,0.42510254776820294,0.32327398299531807,0.6049182750278542,0.5584581699373481
nb149_dis_aug,0.7586220617970317,0.6306741206412951,0.44450387518277723,0.29453347955567133,0.6058832536140818,0.564666940093566
nb125_2way,0.7600257682966298,0.6485238565883928,0.4596356548167979,0.2724966880467463,0.6070043418395957,0.5935715261997917
nb293_conformal,0.7601500182850243,0.6529796213779103,0.457375305991799,0.3470273162870998,0.6071035756887295,0.4826770712865395
nb173_softmax_sweep,0.7605921950017624,0.6288927039517891,0.44450387518277723,0.2824194152778867,0.6074567258029974,0.5944873271632541
nb243_greedy,0.7611061839212089,0.6595054308937738,0.4598868046862422,0.37068965401560616,0.6078672296553347,0.5025886950174533
nb180_nonlinear_6model,0.7619532839904573,0.6326426453649527,0.4478316109529145,0.2871878960695743,0.6085437770060368,0.6186331919892526
nb270_per_compound,0.7620671591004397,0.6237322273187939,0.4418040140862507,0.2694612493178684,0.6086347248252688,0.5957077191100733
nb242_nonlin_stack,0.762817844719159,0.6337278719630316,0.4446294501174994,0.3247185370743805,0.609234269536681,0.49346085380607124
nb181_quantile_poly,0.7629895773487121,0.6278241503468523,0.4439387879765275,0.27890567626911,0.6093714260070568,0.5934705535662387
nb175_bayes_blend,0.7630985513363744,0.6275529363250723,0.44331091330291666,0.2787737841879909,0.6094584594819966,0.5932347969653354
nb244_deep_greedy,0.7631447643287708,0.6550422558850818,0.4564962814487438,0.3666770544170984,0.6094953680819469,0.49914762858318584
nb170_grand_v15,0.7631819893280001,0.6275173672730355,0.44331091330291666,0.2786320641904627,0.60952509830571,0.5932466465348321
nb176_optuna_weights,0.7632820648401613,0.6270909091595536,0.4433737007702777,0.2782643417155527,0.6096050248988961,0.5928898873377834
nb184_grand_v16,0.7634200428463956,0.625757440219135,0.442055163955695,0.2785968941050264,0.6097152228058045,0.5932931761097723
nb183_qreg_poly10,0.7642858441744638,0.6238004013351975,0.44010875246750153,0.2766647682715886,0.6104067061570673,0.594279710090805
nb111_selectivity_primary,0.7651610584826661,0.6399635713982205,0.45323133314596753,0.2588734242698588,0.6111057073058173,0.6171468132818255
nb118_rf_et_blend,0.7653640758721549,0.6745022324587588,0.4756464589938737,0.34359049061211777,0.6112678497515462,0.5197450586229316
nb152_lgbm_mae_tuned,0.7657047752050573,0.6175024560589445,0.4352741174806982,0.27477748017802117,0.611539953649809,0.6035113045647296
nb174_top10_lgbm,0.7657382119269754,0.6285536864245641,0.4429969759661112,0.2807169051512628,0.6115666583172397,0.6043383263843357
nb125_lgbm_meta,0.766051458104229,0.6529665815855353,0.46280406504939414,0.2584281054437405,0.6118168364001272,0.5797337446116565
nb120_mape,0.7662667490108357,0.6215002693034892,0.43307655612306034,0.3074313603230372,0.611988781247947,0.5889915699496258
singleconc,0.7664957316359399,0.6629678558029738,0.4677352381063774,0.2719172621888152,0.612171661162605,0.5023094365912589
199_nb197_nb123_w05,0.7669942170578254,0.6164346434759252,0.43470903027444846,0.2837619814168889,0.6125697829474841,0.585052959866173
grover,0.7705724558384172,0.6065212522645224,0.41857265116265047,0.30665313307336806,0.6154275893095313,0.553191679705934
