model,rae,mae,spearman
nb289_test_time_finetune,0.8839733929947409,0.7059967043236713,0.3752630165357231
oof_lgbm_all_external_v2,0.8968324553871312,0.7162667596688486,0.4813463479281046
nb213_zinc_mlp,0.9210065422589183,0.7355737046479237,0.3833350840189849
selformer,0.9385572395421495,0.7495907944593785,0.3820819014831533
nb290_mmp_transform,0.9406385330927096,0.7512530462862661,0.5549334469865778
oof_gp_tanimoto,0.9437609492938814,0.7537468040905434,0.5173654813679794
oof_lgbm_crc_sp_chembl_pxr,0.9535631147442633,0.7615754294293222,0.4399869506285649
nb103_seed_propagation,0.9564913831995431,0.7639141286426534,0.3814246149206266
nb275_frag,0.9577146654537413,0.7648911187271579,0.2601273479056501
oof_creative_mega_ensemble,0.9586110289147541,0.7656070109184457,0.6173242402878021
nb275_fw,0.9704450630097348,0.7750584142481385,0.3925062006790103
nb266_alpha070,1.0020190281006445,0.8002753670130793,-0.06998804592772577
nb266_alpha050,1.0027783883096353,0.8008818397974308,0.10723163455596295
nb266_alpha100,1.0650763328932789,0.85063689341187,0.07143183715812354
nb281_lambdarank,1.1551589082754061,0.9225824992873048,0.5891818379884965
nb276_murcko,1.1596568082372094,0.9261748048641194,0.11876480166571678
oof_cliff_adaptive_blend,1.1599607369251186,0.9264175414144654,
nb276_brics,1.1922106951368205,0.9521743847679771,0.22634176599217717
nb266_alpha030,1.2113834186610821,0.9674869266706022,0.0722020138344765
nb276_recap,1.2404202802087896,0.9906775891034773,0.022094106097520213
nb108_grand_v2,1.3207913653316783,1.054866988546198,0.6026364448623861
nb280_meta_analogy,1.3926330116261523,1.1122442421140408,-0.04126362786094467
nb279_pocket_aware,1.625500306095608,1.2982266978565562,-0.03210724237381802
nb282_kg_hetgnn,2.231579531387836,1.782279655792025,0.7056570169333448
