iter	Passed	Remaining
1099	83479	68301
1100	83568	68236
1101	83634	68151
1102	83716	68081
1103	83785	68000
1104	83877	67937
1105	83949	67857
1106	84025	67782
1107	84112	67715
1108	84196	67645
1109	84276	67573
1110	84353	67497
1111	84429	67422
1112	84510	67350
1113	84579	67269
1114	84644	67184
1115	84710	67100
1116	84794	67031
1117	84864	66950
1118	84943	66876
1119	85022	66803
1120	85108	66735
1121	85168	66647
1122	85236	66564
1123	85309	66486
1124	85391	66415
1125	85467	66339
1126	85540	66261
1127	85606	66178
1128	85696	66112
1129	85775	66039
1130	85848	65961
1131	85915	65878
1132	86004	65812
1133	86087	65742
1134	86155	65660
1135	86229	65583
1136	86309	65510
1137	86380	65430
1138	86448	65348
1139	86521	65270
1140	86608	65202
1141	86684	65126
1142	86759	65050
1143	86828	64969
1144	86914	64900
1145	86987	64823
1146	87053	64740
1147	87128	64663
1148	87216	64596
1149	87293	64521
1150	87362	64440
1151	87439	64365
1152	87515	64289
1153	87590	64212
1154	87657	64130
1155	87729	64051
1156	87817	63984
1157	87897	63911
1158	87960	63826
1159	88022	63740
1160	88106	63670
1161	88180	63592
1162	88255	63516
1163	88323	63435
1164	88413	63369
1165	88487	63292
1166	88561	63214
1167	88634	63136
1168	88731	63076
1169	88808	63001
1170	88868	62913
1171	88937	62832
1172	89033	62771
1173	89111	62696
1174	89182	62617
1175	89250	62535
1176	89342	62471
1177	89421	62397
1178	89498	62322
1179	89566	62241
1180	89649	62169
1181	89713	62086
1182	89777	62001
1183	89862	61932
1184	89953	61866
1185	90025	61788
1186	90096	61709
1187	90175	61635
1188	90272	61573
1189	90346	61496
1190	90409	61411
1191	90476	61329
1192	90557	61257
1193	90627	61177
1194	90706	61103
1195	90777	61024
1196	90870	60959
1197	90941	60880
1198	91005	60796
1199	91073	60715
1200	91153	60642
1201	91221	60561
1202	91310	60493
1203	91376	60412
1204	91472	60348
1205	91544	60270
1206	91622	60196
1207	91686	60112
1208	91767	60039
1209	91840	59961
1210	91908	59880
1211	91976	59799
1212	92063	59731
1213	92146	59660
1214	92213	59578
1215	92289	59502
1216	92385	59439
1217	92449	59356
1218	92511	59271
1219	92582	59191
1220	92672	59124
1221	92750	59050
1222	92820	58971
1223	92890	58891
1224	92976	58821
1225	93054	58747
1226	93126	58669
1227	93200	58592
1228	93293	58526
1229	93367	58449
1230	93442	58372
1231	93508	58290
1232	93596	58222
1233	93675	58148
1234	93752	58073
1235	93826	57996
1236	93919	57930
1237	93990	57851
1238	94071	57779
1239	94140	57699
1240	94220	57625
1241	94295	57548
1242	94373	57474
1243	94443	57394
1244	94525	57322
1245	94601	57246
1246	94667	57164
1247	94750	57093
1248	94869	57043
1249	94945	56967
1250	95018	56889
1251	95088	56809
1252	95182	56744
1253	95262	56671
1254	95334	56592
1255	95407	56515
1256	95495	56446
1257	95564	56366
1258	95640	56290
1259	95716	56214
1260	95799	56142
1261	95867	56061
1262	95931	55978
1263	96002	55900
1264	96090	55831
1265	96163	55753
1266	96240	55678
1267	96311	55599
1268	96401	55531
1269	96467	55449
1270	96534	55368
1271	96594	55283
1272	96674	55209
1273	96752	55135
1274	96820	55054
1275	96892	54976
1276	96975	54904
1277	97040	54822
1278	97107	54741
1279	97177	54662
1280	97253	54586
1281	97326	54509
1282	97395	54429
1283	97460	54347
1284	97545	54276
1285	97612	54195
1286	97683	54116
1287	97751	54036
1288	97835	53965
1289	97905	53886
1290	97979	53808
1291	98052	53731
1292	98139	53661
1293	98219	53588
1294	98292	53510
1295	98366	53433
1296	98450	53362
1297	98527	53287
1298	98589	53203
1299	98666	53128
1300	98748	53055
1301	98822	52978
1302	98885	52895
1303	98962	52820
1304	99046	52748
1305	99127	52675
1306	99195	52595
1307	99259	52513
1308	99337	52438
1309	99411	52361
1310	99483	52284
1311	99560	52208
1312	99645	52137
1313	99720	52061
1314	99789	51981
1315	99852	51899
1316	99931	51824
1317	100003	51747
1318	100064	51663
1319	100130	51582
1320	100216	51511
1321	100290	51435
1322	100359	51355
1323	100424	51274
1324	100510	51203
1325	100578	51123
1326	100653	51047
1327	100725	50969
1328	100807	50896
